row;col;UP;ElevP50;ARMFR;ElevP90
77;28;52I212;24.9164;87.5;26.4605
76;26;52I212;9.6476;59.3782;25.6119
76;27;52I212;11.2544;60.1796;25.2069
76;28;52I212;4.7638;57.7481;25.3246
76;29;52I212;5.3553;59.1174;26.5195
76;30;52I212;5.7846;56.9492;26.5693
75;25;52I212;12.2212;61.4458;25.7625
75;26;52I212;4.1502;54.4666;25.9798
75;27;52I212;3.9971;54.2693;25.5065
75;28;52I212;2.9485;51.9696;25.5627
75;29;52I212;3.1285;51.8913;26.6783
75;30;52I212;6.0309;57.9114;26.4857
75;31;52I212;19.0362;62.6374;25.605
74;23;52I212;4.3087;66.9683;24.4903
74;24;52I212;9.183;59.4169;25.9819
74;25;52I212;7.0543;58.5225;25.5798
74;26;52I212;4.9092;59.31;25.8694
74;27;52I212;6.2231;58.4916;25.6839
74;28;52I212;4.9713;56.8533;25.8198
74;29;52I212;5.486;57.667;26.5784
74;30;52I212;7.9075;58.7913;27.13
74;31;52I212;12.5103;61.0664;26.9281
73;22;52I212;3.9081;59.53;24.5827
73;23;52I212;13.7704;61.2202;24.901
73;24;52I212;7.0662;59.8877;25.4254
73;25;52I212;4.6832;56.2666;25.5916
73;26;52I212;8.8016;60.4755;25.5051
73;27;52I212;7.2147;58.2935;25.8249
73;28;52I212;5.9668;57.0487;25.849
73;29;52I212;5.172;56.7635;26.5226
73;30;52I212;5.5631;57.5982;26.8055
73;31;52I212;6.5886;58.0261;26.9104
73;32;52I212;15.3439;63.7687;26.3425
72;21;52I212;22.5863;69.7778;24.9178
72;22;52I212;4.5797;55.9421;24.2723
72;23;52I212;3.3468;52.6885;24.8863
72;24;52I212;3.888;53.9967;25.7199
72;25;52I212;3.5888;54.1881;25.4713
72;26;52I212;4.364;56.5578;25.3571
72;27;52I212;3.3088;53.9136;25.5689
72;28;52I212;3.8262;53.7601;26.064
72;29;52I212;2.769;54.8507;26.6878
72;30;52I212;3.1815;53.0074;26.6861
72;31;52I212;4.6043;56.8492;26.4853
72;32;52I212;7.0604;58.6072;26.1581
71;20;52I212;23.5582;65.7895;26.155
71;21;52I212;17.6166;61.7204;25.2614
71;22;52I212;4.9185;58.2914;25.0213
71;23;52I212;4.7903;57.6438;25.7455
71;24;52I212;10.847;59.2883;26.001
71;25;52I212;6.5096;59.278;26.233
71;26;52I212;6.4143;58.0022;26.3503
71;27;52I212;4.8824;57.2927;26.4052
71;28;52I212;6.4553;58.1591;26.8678
71;29;52I212;5.9668;57.53;27.3811
71;30;52I212;5.1714;55.3205;26.8078
71;31;52I212;5.4423;57.2718;26.5387
71;32;52I212;4.3849;56.1052;26.4645
71;33;52I212;23.3804;65.8794;25.9564
70;19;52I212;22.0433;70.1149;24.4621
70;20;52I212;7.5587;60.4084;24.2409
70;21;52I212;6.1321;58.8948;25.1918
70;22;52I212;4.6007;56.2923;25.5871
70;23;52I212;5.4562;58.1859;26.5437
70;24;52I212;8.5554;60.8482;26.8197
70;25;52I212;7.0633;59.2678;26.522
70;26;52I212;10.1043;61.0483;27.0016
70;27;52I212;5.8193;58.1677;27.2496
70;28;52I212;3.5884;57.0742;27.293
70;29;52I212;6.1918;59.073;27.4376
70;30;52I212;5.6314;58.5476;27.139
70;31;52I212;5.3295;57.4326;26.6659
70;32;52I212;8.1107;58.5085;26.6445
70;33;52I212;6.054;58.3048;26.2068
70;34;52I212;20.7505;63.9372;26.3676
70;35;52I212;2.163;50;25.9557
69;18;52I212;23.1741;67.7778;25.3152
69;19;52I212;12.9202;62.2152;26.5233
69;20;52I212;12.8239;62.5628;26.4477
69;21;52I212;9.2333;61.0678;26.4269
69;22;52I212;5.1818;58.8226;26.3995
69;23;52I212;7.4348;60.2761;26.8609
69;24;52I212;6.6393;58.4296;27.0392
69;25;52I212;9.572;61.2346;26.922
69;26;52I212;8.968;60.2415;27.5108
69;27;52I212;7.6575;59.5526;27.7002
69;28;52I212;2.9617;54.5931;26.9508
69;29;52I212;6.6312;61.5409;27.3105
69;30;52I212;4.6358;58.6507;26.8611
69;31;52I212;5.8154;58.7601;27.064
69;32;52I212;4.2409;58.87;27.4055
69;33;52I212;5.2789;57.1537;27.5033
69;34;52I212;4.5631;56.8618;27.4021
69;35;52I212;8.5218;61.023;26.7395
69;36;52I212;5.5092;59.0909;26.1483
68;17;52I212;16.1497;57.6471;27.7554
68;18;52I212;17.2989;63.5518;27.7768
68;19;52I212;17.9149;65.9332;27.9139
68;20;52I212;19.6108;65.2333;28.6975
68;21;52I212;13.761;62.2739;27.7707
68;22;52I212;14.8659;62.7212;27.0153
68;23;52I212;10.2274;61.9132;26.794
68;24;52I212;10.8489;61.7482;27.256
68;25;52I212;6.9073;58.4087;27.494
68;26;52I212;8.7839;60.4238;27.4553
68;27;52I212;9.3924;61.1402;27.4766
68;28;52I212;3.358;57.2341;26.8936
68;29;52I212;7.5216;60.7154;26.8504
68;30;52I212;6.4635;58.7804;26.5465
68;31;52I212;2.3044;54.9222;26.8239
68;32;52I212;4.4972;59.0027;26.9893
68;33;52I212;7.9185;61.0254;27.3627
68;34;52I212;8.3154;61.5201;27.5375
68;35;52I212;11.8219;62.4738;27.6044
68;36;52I212;6.9384;60.0591;27.1073
67;16;52I212;24.7258;70.4225;27.3312
67;17;52I212;17.1586;63.7322;28.0023
67;18;52I212;16.0932;63.6908;28.4852
67;19;52I212;13.2953;62.7989;28.2908
67;20;52I212;18.6642;65.7803;29.0037
67;21;52I212;15.0786;63.9651;28.7915
67;22;52I212;16.4413;63.7601;27.2422
67;23;52I212;13.4898;62.2362;27.1354
67;24;52I212;11.0919;61.0313;27.078
67;25;52I212;8.3535;59.9849;27.1647
67;26;52I212;10.1748;60.9025;27.2465
67;27;52I212;6.5378;59.2569;27.3751
67;28;52I212;5.8697;58.8974;27.0404
67;29;52I212;3.0914;57.4639;26.6309
67;30;52I212;3.6735;56.9651;26.7231
67;31;52I212;1.9224;53.2145;26.8001
67;32;52I212;6.1489;58.2638;26.6991
67;33;52I212;5.5492;59.3243;26.6277
67;34;52I212;5.5792;59.3692;26.7069
67;35;52I212;3.1012;56.3147;26.9225
67;36;52I212;2.967;55.6371;26.7534
67;37;52I212;3.5783;57.0927;26.2546
66;15;52I212;19.1825;63.4115;27.9168
66;16;52I212;11.0602;61.061;27.8958
66;17;52I212;15.8608;63.3193;28.4072
66;18;52I212;5.1341;58.4654;28.4637
66;19;52I212;9.5505;61.4226;28.5149
66;20;52I212;6.605;59.2064;29.0047
66;21;52I212;5.8636;58.099;28.3236
66;22;52I212;11.6436;62.1875;27.3805
66;23;52I212;7.915;61.1385;27.5366
66;24;52I212;8.4621;62.1072;27.3582
66;25;52I212;4.8818;58.5841;27.1984
66;26;52I212;5.0151;58.4566;27.0786
66;27;52I212;2.689;56.0864;27.0416
66;28;52I212;3.9529;59.1599;26.6263
66;29;52I212;2.3948;54.3624;26.6816
66;30;52I212;3.2184;57.1185;26.2657
66;31;52I212;2.9465;56.7371;26.0805
66;32;52I212;2.2299;55.6871;26.0352
66;33;52I212;3.2056;58.1611;25.4424
66;34;52I212;4.2455;56.9542;25.7206
66;35;52I212;3.9586;56.7534;25.731
66;36;52I212;4.1193;57.0572;26.3583
66;37;52I212;6.0085;57.0767;26.5751
66;38;52I212;8.8584;56.6884;26.5596
65;14;52I212;4.2791;53.8103;26.3984
65;15;52I212;5.9578;58.3174;26.9952
65;16;52I212;5.2095;58.3377;27.422
65;17;52I212;16.5542;62.3417;27.5417
65;18;52I212;16.4579;61.9248;27.6064
65;19;52I212;22.4792;64.7931;27.7247
65;20;52I212;19.4254;64.2967;28.3433
65;21;52I212;13.855;64.5701;27.9179
65;22;52I212;20.4492;67.8546;27.6498
65;23;52I212;13.7901;63.5069;28.0084
65;24;52I212;17.016;64.4313;27.5594
65;25;52I212;15.39;64.2771;26.9568
65;26;52I212;10.5558;61.8802;26.9755
65;27;52I212;8.6352;60.2132;26.8902
65;28;52I212;7.3038;60.3265;26.7524
65;29;52I212;11.9572;62.8615;26.5206
65;30;52I212;14.6448;64.1187;25.6938
65;31;52I212;12.6814;64.8642;25.1812
65;32;52I212;11.7335;63.4054;25.3495
65;33;52I212;14.6057;65.3812;24.5427
65;34;52I212;12.1043;62.1306;25.3789
65;35;52I212;10.7829;61.359;25.5636
65;36;52I212;4.1276;57.5678;26.0443
65;37;52I212;3.7896;56.9683;25.798
65;38;52I212;9.3164;59.2138;27.0542
65;39;52I212;14.7581;62.9992;27.5159
65;40;52I212;25.6528;74.6479;27.6383
64;13;52I212;4.0058;54.7794;26.3621
64;14;52I212;4.6168;58.2729;26.4608
64;15;52I212;3.5072;55.6871;26.356
64;16;52I212;4.4902;56.0317;26.3551
64;17;52I212;13.7982;61.7019;26.6296
64;18;52I212;21.052;65.429;26.6622
64;19;52I212;21.4581;65.5508;27.1037
64;20;52I212;20.5457;65.8591;27.5887
64;21;52I212;15.9875;63.1641;27.582
64;22;52I212;17.7503;64.9581;27.8158
64;23;52I212;16.5934;66.3628;28.2644
64;24;52I212;14.681;64.5553;27.6762
64;25;52I212;13.6293;64.3674;27.1159
64;26;52I212;9.6468;60.6849;27.1406
64;27;52I212;7.4374;59.0268;27.023
64;28;52I212;12.3142;64.6758;26.2377
64;29;52I212;13.0934;64.097;25.8842
64;30;52I212;17.9828;68.3179;25.1875
64;31;52I212;14.0097;65.1432;25.1093
64;32;52I212;16.6824;66.7468;25.31
64;33;52I212;16.9752;68.0356;24.983
64;34;52I212;13.6193;65.9577;24.7576
64;35;52I212;12.9783;65.6022;24.7823
64;36;52I212;12.2969;63.0329;25.4576
64;37;52I212;9.6787;60.7503;26.112
64;38;52I212;9.1186;60.194;26.5522
64;39;52I212;7.5203;59.1018;26.8933
64;40;52I212;14.5173;62.9488;26.6891
64;41;52I212;4.8039;58.908;25.9104
63;12;52I212;3.2575;54.5455;27.3585
63;13;52I212;3.8994;56.758;26.3873
63;14;52I212;3.2484;54.0754;25.7763
63;15;52I212;2.7383;51.5606;25.0616
63;16;52I212;3.4188;55.2568;25.4158
63;17;52I212;2.8892;53.1923;26.0269
63;18;52I212;3.9721;57.9328;26.441
63;19;52I212;7.256;60.2857;26.3613
63;20;52I212;11.8499;62.0799;26.8082
63;21;52I212;10.1977;60.731;27.3783
63;22;52I212;8.1651;60.0052;27.6568
63;23;52I212;9.6532;62.6938;27.7997
63;24;52I212;6.5087;59.517;28.0505
63;25;52I212;6.6267;60.0666;27.5519
